bugzero_win,complexity_pref1,complexity_pref2,opponent1_aggression,opponent1_opening,opponent1_rating,opponent2_aggression,opponent2_opening,opponent2_rating,opponent_id
1,0.1,0.84,0.45,Queen's Gambit,2363,0.09,Scandinavian Defense,1942,139
1,0.62,0.55,0.21,King's Gambit,1954,0.4,Scandinavian Defense,1941,140
1,0.36,0.9,0.55,King's Gambit,2245,0.08,Sicilian Defense,2133,141
0,0.79,0.93,0.24,Scandinavian Defense,2461,0.13,King's Gambit,2534,142
0,0.23,0.01,0.35,King's Gambit,1879,0.21,King's Gambit,2148,143
1,0.64,0.08,0.56,Sicilian Defense,2237,0.19,Scandinavian Defense,1899,144
0,0.24,0.25,0.07,King's Gambit,2252,0.45,Queen's Gambit,2151,145
0,0.71,0.67,0.48,Ruy López,2356,0.23,King's Gambit,2145,146
0,0.87,0.89,0.36,Ruy López,1953,0.1,Scandinavian Defense,1661,147
0,0.13,0.46,0.4,King's Gambit,1936,0.18,King's Gambit,2189,148
0,0.87,0.61,0.14,Scandinavian Defense,2304,0.31,Queen's Gambit,2154,149
0,0.59,0.19,0.15,Ruy López,2259,0.31,Ruy López,2339,150
0,0.13,0.8,0.27,Queen's Gambit,2250,0.32,Scandinavian Defense,2570,151
0,0.43,0.97,0.27,Ruy López,2269,0.45,French Defense,2425,152
1,0.16,0.27,0.2,King's Gambit,2064,0.5,French Defense,2146,153
1,0.7,0.49,0.52,Scandinavian Defense,2246,0.38,Scandinavian Defense,1979,154
0,0.76,0.09,0.01,French Defense,2259,0.26,Sicilian Defense,2715,155
0,0.11,0.56,0.23,Scandinavian Defense,2057,0.22,Ruy López,2212,156
1,0.51,0.5,0.09,Scandinavian Defense,2573,0.63,Sicilian Defense,2203,157
1,0.81,0.14,0.54,Scandinavian Defense,2295,0.3,French Defense,2195,158
0,0.94,0.44,0.34,Queen's Gambit,1962,0.35,Queen's Gambit,2240,159
1,0.51,0.33,0.22,Sicilian Defense,2331,0.2,Scandinavian Defense,2171,160
1,0.95,0.52,0.12,King's Gambit,2005,0.19,King's Gambit,2085,161
0,0.54,0.59,0.33,Sicilian Defense,2357,0.12,French Defense,2091,162
0,0.39,0.01,0.1,French Defense,2432,0.29,Ruy López,2193,163
1,0.85,0.76,0.34,Sicilian Defense,2036,0.19,French Defense,2091,164
1,0.49,0.71,0.58,King's Gambit,2393,0.22,Ruy López,2057,165
1,0.47,0.37,0.55,King's Gambit,2283,0.49,Ruy López,2221,166
0,0.49,0.05,0.14,French Defense,2364,0.09,Scandinavian Defense,2149,167
0,0.85,0.75,0.54,King's Gambit,2579,0.17,Ruy López,2501,168
1,0.83,0.96,0.05,French Defense,2151,0.33,Sicilian Defense,1670,169
0,0.4,0.24,0.23,French Defense,2049,0.31,Queen's Gambit,2418,170
0,0.33,0.32,0.15,King's Gambit,2022,0.56,French Defense,2449,171
1,0.49,0.18,0.04,Ruy López,2037,0.06,Queen's Gambit,1785,172
1,0.57,0.58,0.42,French Defense,2185,0.52,King's Gambit,2131,173
0,0.24,0.15,0.47,King's Gambit,2268,0.11,French Defense,2126,174
1,0.79,0.36,0.46,Ruy López,2255,0.23,Queen's Gambit,1918,175
0,0.49,0.7,0.29,French Defense,2365,0.08,Queen's Gambit,2044,176
0,0.33,0.56,0.33,Ruy López,2203,0.02,Scandinavian Defense,1978,177
0,0.11,0.39,0.61,Queen's Gambit,2491,0.52,Scandinavian Defense,2550,178
1,0.24,0.42,0.23,Scandinavian Defense,2147,0.15,King's Gambit,2387,179
0,0.95,0.56,0.33,Queen's Gambit,2744,0.4,Ruy López,2454,180
0,0.31,0.01,0.19,Ruy López,2325,0.19,French Defense,2344,181
0,0.17,0.08,0.48,French Defense,2029,0.57,Scandinavian Defense,1974,182
1,0.46,0.88,0.46,King's Gambit,1986,0.21,French Defense,2095,183
1,0.31,0.08,0.34,Sicilian Defense,2296,0.24,King's Gambit,2298,184
0,0.04,0.71,0.29,King's Gambit,2155,0.17,Scandinavian Defense,1956,185
1,0.32,0.92,0.3,Sicilian Defense,2343,0.12,Scandinavian Defense,2343,186
0,0.54,0.27,0.33,Sicilian Defense,2295,0.43,Ruy López,2152,187
1,0.55,0.37,0.07,French Defense,2185,0.28,French Defense,2125,188
0,0.36,0.57,0.33,Ruy López,2031,0.03,French Defense,2342,189
1,0.45,0.88,0.57,King's Gambit,1897,0.58,French Defense,2289,190
1,0.97,0.94,0.17,Ruy López,2111,0.25,Ruy López,2128,191
0,0.38,0.74,0.32,Queen's Gambit,2371,0.13,Scandinavian Defense,2432,192
1,0.26,0.09,0.26,French Defense,2243,0.08,King's Gambit,1984,193
1,0.24,0.67,0.21,French Defense,1951,0.13,French Defense,2323,194
0,0.46,0.41,0.45,Queen's Gambit,2235,0.34,Queen's Gambit,2319,195
0,0.76,0.47,0.19,King's Gambit,2277,0.44,Ruy López,2138,196
1,0.21,0.05,0.42,Scandinavian Defense,2023,0.23,Sicilian Defense,2265,197
1,0.71,0.19,0.31,Queen's Gambit,2231,0.81,King's Gambit,1950,198
1,0.02,0.79,0.09,King's Gambit,2212,0.21,Queen's Gambit,2385,199
0,0.42,0.45,0.18,Sicilian Defense,1971,0.26,French Defense,2163,200
0,0.78,0.3,0.29,French Defense,2272,0.11,Sicilian Defense,2095,201
1,0.34,0.38,0.19,King's Gambit,2312,0.25,King's Gambit,2410,202
1,0.56,0.85,0.25,Ruy López,2417,0.46,Ruy López,2059,203
1,0.2,0.75,0.26,Ruy López,2411,0.62,Sicilian Defense,1918,204
1,0.74,0.27,0.19,French Defense,1924,0.4,Scandinavian Defense,1889,205
0,0.05,0.12,0.12,Queen's Gambit,2012,0.06,Sicilian Defense,2321,206
0,0.85,0.25,0.36,Scandinavian Defense,2303,0.1,Queen's Gambit,1944,207
0,0.2,0.92,0.01,Queen's Gambit,2303,0.06,King's Gambit,2551,208
0,0.87,0.58,0.23,King's Gambit,2303,0.14,Queen's Gambit,1784,209
0,0.35,0.53,0.37,Queen's Gambit,2900,0.18,Queen's Gambit,2539,210
0,0.72,0.6,0.47,French Defense,2314,0.12,French Defense,2242,211
0,0.32,0.37,0.23,King's Gambit,2427,0.38,Ruy López,2181,212
0,0.91,0.81,0.6,Sicilian Defense,2391,0.12,Sicilian Defense,2091,213
1,0.13,0.52,0.11,Queen's Gambit,2330,0.34,King's Gambit,2280,214
0,0.18,0.12,0.29,Queen's Gambit,2137,0.42,Scandinavian Defense,2192,215
0,0.49,0.13,0.24,Scandinavian Defense,2352,0.22,Ruy López,2421,216
1,0.08,0.54,0.09,King's Gambit,2045,0.5,Ruy López,2223,217
1,0.2,0.94,0.34,Ruy López,2153,0.37,King's Gambit,2230,218
1,0.94,0.31,0.26,Queen's Gambit,2103,0.18,Ruy López,2127,219
0,0.98,0.87,0.11,French Defense,2216,0.26,French Defense,2189,220
0,0.38,0.76,0.34,Queen's Gambit,2663,0.19,Ruy López,2262,221
0,0.92,0.25,0.07,Scandinavian Defense,1827,0.42,French Defense,1858,222
1,0.54,0.04,0.39,Sicilian Defense,2337,0.37,Sicilian Defense,1930,223
0,0.27,0.1,0.17,Scandinavian Defense,1877,0.32,Sicilian Defense,2349,224
0,0.7,0.73,0.69,Queen's Gambit,2106,0.08,Queen's Gambit,2234,225
1,0.66,0.2,0.17,Ruy López,2418,0.17,French Defense,2163,226
0,0.99,0.37,0.26,Queen's Gambit,2213,0.15,Scandinavian Defense,2204,227
0,0.27,0.5,0.34,King's Gambit,1984,0.04,Sicilian Defense,2270,228
1,0.67,0.73,0.19,Queen's Gambit,2057,0.1,Ruy López,2092,229
1,0.05,0.11,0.44,Ruy López,2336,0.11,King's Gambit,2044,230
1,0.11,0.41,0.29,King's Gambit,2054,0.23,King's Gambit,2239,231
0,0.0,0.49,0.04,French Defense,2243,0.4,French Defense,2004,232
1,1.0,0.54,0.09,King's Gambit,2209,0.19,Scandinavian Defense,2282,233
1,0.8,0.82,0.47,Scandinavian Defense,2070,0.24,Queen's Gambit,1859,234
0,0.79,0.17,0.27,Sicilian Defense,2629,0.24,Ruy López,2406,235
0,0.51,0.81,0.24,Scandinavian Defense,2327,0.26,French Defense,2295,236
1,0.3,0.69,0.27,King's Gambit,1795,0.28,King's Gambit,2251,237
0,0.15,0.56,0.1,French Defense,2237,0.49,French Defense,2397,238
0,0.28,0.7,0.23,Queen's Gambit,2068,0.22,Ruy López,2533,239
1,0.38,0.41,0.26,King's Gambit,2370,0.5,Scandinavian Defense,2403,240
1,0.76,0.14,0.69,Scandinavian Defense,2041,0.27,Scandinavian Defense,1832,241
0,0.54,0.67,0.25,King's Gambit,2177,0.24,Sicilian Defense,1944,242
0,0.08,0.52,0.24,King's Gambit,2301,0.71,Ruy López,2075,243
0,0.02,0.64,0.28,King's Gambit,2373,0.44,Sicilian Defense,2205,244
0,0.1,0.34,0.27,French Defense,1960,0.04,Sicilian Defense,2304,245
1,0.41,0.91,0.23,Ruy López,2133,0.34,Sicilian Defense,2055,246
1,0.93,0.59,0.43,Ruy López,2105,0.11,French Defense,2237,247
1,0.64,0.09,0.22,King's Gambit,2069,0.28,King's Gambit,2049,248
0,0.8,0.45,0.48,French Defense,2553,0.12,Scandinavian Defense,2078,249
0,0.47,0.76,0.23,French Defense,2281,0.31,French Defense,1919,250
1,0.36,0.79,0.43,King's Gambit,1948,0.58,King's Gambit,2015,251
1,0.11,0.49,0.39,Scandinavian Defense,2384,0.35,Scandinavian Defense,1930,252
0,0.88,0.89,0.21,Scandinavian Defense,2624,0.21,Ruy López,2005,253
0,0.78,0.27,0.09,Sicilian Defense,2406,0.19,Scandinavian Defense,2411,254
1,0.17,0.41,0.6,King's Gambit,1896,0.53,Scandinavian Defense,2010,255
1,0.51,0.9,0.23,Sicilian Defense,2103,0.34,Scandinavian Defense,2726,256
0,0.49,0.9,0.3,Scandinavian Defense,2453,0.51,Queen's Gambit,2299,257
0,0.63,0.69,0.16,Scandinavian Defense,2058,0.39,Ruy López,2237,258
1,0.95,0.86,0.18,King's Gambit,2289,0.25,French Defense,2028,259
0,0.58,0.09,0.48,Sicilian Defense,2355,0.33,French Defense,2340,260
1,0.54,0.86,0.53,Sicilian Defense,2015,0.62,King's Gambit,2085,261
1,0.05,0.32,0.36,King's Gambit,2188,0.26,French Defense,2224,262
1,0.06,0.18,0.25,Sicilian Defense,1552,0.18,Sicilian Defense,2712,263
0,0.19,0.24,0.38,Queen's Gambit,1995,0.17,Scandinavian Defense,2181,264
0,0.03,0.42,0.2,Scandinavian Defense,2149,0.4,French Defense,2430,265
0,0.74,0.25,0.3,Ruy López,1950,0.2,King's Gambit,2059,266
0,0.72,0.32,0.13,French Defense,2526,0.23,King's Gambit,2193,267
1,0.14,0.13,0.13,Sicilian Defense,1914,0.46,Sicilian Defense,2554,268
1,0.84,0.3,0.35,Sicilian Defense,2112,0.1,King's Gambit,2075,269
0,0.15,0.57,0.32,French Defense,2226,0.28,Queen's Gambit,2562,270
0,0.3,0.44,0.31,Sicilian Defense,2488,0.49,Scandinavian Defense,2342,271
1,0.25,0.35,0.23,French Defense,1913,0.32,Scandinavian Defense,2088,272
0,0.37,0.75,0.31,King's Gambit,2433,0.28,Scandinavian Defense,2326,273
0,0.25,0.89,0.17,Queen's Gambit,2202,0.38,Ruy López,2395,274
1,0.49,0.76,0.04,Queen's Gambit,2004,0.32,French Defense,2324,275
0,0.41,0.33,0.28,Scandinavian Defense,2292,0.25,Queen's Gambit,1886,276
0,0.99,0.74,0.09,Ruy López,2240,0.05,French Defense,2055,277
1,0.06,0.15,0.41,Sicilian Defense,2080,0.39,Queen's Gambit,2150,278
0,0.14,0.13,0.52,Ruy López,2214,0.09,French Defense,2185,279
1,0.05,0.35,0.63,King's Gambit,2123,0.41,Sicilian Defense,2324,280
0,0.63,0.81,0.27,Queen's Gambit,2223,0.05,King's Gambit,2236,281
0,0.05,0.25,0.16,King's Gambit,2332,0.13,King's Gambit,1933,282
1,0.84,0.06,0.3,King's Gambit,2517,0.31,Sicilian Defense,2276,283
0,0.51,0.13,0.25,Sicilian Defense,1952,0.23,Queen's Gambit,2322,284
0,0.53,0.86,0.28,King's Gambit,2627,0.21,Ruy López,2312,285
0,0.56,0.63,0.47,Queen's Gambit,1810,0.68,Queen's Gambit,2416,286
1,0.17,0.25,0.22,Ruy López,2170,0.41,King's Gambit,2367,287
1,0.2,0.56,0.25,Queen's Gambit,2318,0.05,Ruy López,2292,288
0,0.32,0.53,0.13,Sicilian Defense,2256,0.49,French Defense,2186,289
1,0.59,0.66,0.26,Queen's Gambit,2075,0.45,Ruy López,1868,290
0,0.21,0.23,0.58,French Defense,2158,0.36,Queen's Gambit,2286,291
1,0.12,0.86,0.17,Ruy López,2101,0.19,Sicilian Defense,2242,292
0,0.97,0.31,0.44,French Defense,2082,0.4,French Defense,2254,293
1,0.02,0.69,0.24,French Defense,2370,0.28,Queen's Gambit,1945,294
0,0.8,0.02,0.45,Scandinavian Defense,2271,0.44,French Defense,1984,295
0,0.79,0.37,0.42,Sicilian Defense,2061,0.14,Ruy López,2411,296
1,0.3,0.35,0.12,King's Gambit,2380,0.18,King's Gambit,2192,297
0,0.14,0.54,0.41,French Defense,2261,0.11,Queen's Gambit,2336,298
1,0.15,0.07,0.09,Queen's Gambit,2363,0.15,Sicilian Defense,2206,299
0,0.7,0.79,0.1,King's Gambit,2326,0.2,Ruy López,2206,300
0,0.64,0.22,0.23,Queen's Gambit,2034,0.32,Queen's Gambit,2388,301
0,0.78,0.68,0.55,Queen's Gambit,2088,0.15,Sicilian Defense,2097,302
1,0.94,0.8,0.35,King's Gambit,2349,0.27,Queen's Gambit,2219,303
0,0.69,0.56,0.14,King's Gambit,2322,0.49,Ruy López,2108,304
0,0.16,0.74,0.05,Queen's Gambit,2196,0.36,Queen's Gambit,2113,305
1,0.24,0.66,0.38,Sicilian Defense,2223,0.2,French Defense,2138,306
0,0.84,0.36,0.28,Ruy López,2456,0.02,Ruy López,2244,307
0,0.21,0.81,0.31,Scandinavian Defense,2082,0.28,Queen's Gambit,2104,308
1,0.07,0.29,0.34,Ruy López,2309,0.19,King's Gambit,2451,309
1,0.7,0.57,0.48,Sicilian Defense,2160,0.12,Queen's Gambit,2021,310
0,0.4,0.75,0.26,Scandinavian Defense,2156,0.29,French Defense,2163,311
1,0.92,0.38,0.5,King's Gambit,2420,0.45,Sicilian Defense,2112,312
0,0.65,0.3,0.15,Scandinavian Defense,2365,0.17,Sicilian Defense,2489,313
0,0.09,0.46,0.06,Queen's Gambit,2363,0.42,Sicilian Defense,2239,314
0,0.95,0.82,0.45,Ruy López,2461,0.23,King's Gambit,2406,315
0,0.26,0.93,0.11,Scandinavian Defense,2204,0.34,French Defense,1903,316
0,0.34,0.55,0.3,Queen's Gambit,2336,0.48,Ruy López,2253,317
0,0.4,0.66,0.54,Sicilian Defense,2138,0.02,Sicilian Defense,2378,318
0,0.05,0.9,0.07,Scandinavian Defense,2265,0.35,French Defense,2216,319
0,0.5,0.1,0.34,Queen's Gambit,2174,0.66,Queen's Gambit,2413,320
1,0.12,0.23,0.06,Sicilian Defense,2219,0.54,King's Gambit,2097,321
0,0.4,0.71,0.27,King's Gambit,2319,0.12,French Defense,2482,322
0,0.35,0.82,0.01,Sicilian Defense,2036,0.32,French Defense,2660,323
0,0.77,0.86,0.09,Sicilian Defense,2618,0.72,Ruy López,2127,324
0,0.8,0.42,0.16,Ruy López,1999,0.21,French Defense,2111,325
0,0.15,0.09,0.06,Queen's Gambit,1957,0.48,Ruy López,2491,326
0,0.37,0.44,0.36,Scandinavian Defense,2432,0.3,King's Gambit,2516,327
0,0.37,0.23,0.33,Ruy López,2358,0.22,King's Gambit,2095,328
0,0.15,0.29,0.55,French Defense,2325,0.48,Queen's Gambit,2116,329
0,0.8,0.77,0.11,Sicilian Defense,2326,0.48,Ruy López,2144,330
0,0.71,0.08,0.22,French Defense,2198,0.13,Ruy López,1931,331
1,0.19,0.83,0.08,Ruy López,2021,0.53,Sicilian Defense,2016,332
0,0.37,0.43,0.18,Queen's Gambit,2215,0.01,Sicilian Defense,1999,333
0,0.11,0.6,0.6,Ruy López,2065,0.21,Queen's Gambit,2046,334
